id_job,total_energy_J,idle_energy_J,idle_energy_saving_J,idle_duration_steps,total_steps,idle_pct_energy,idle_duration_min,total_duration_min,potential_saving_J,potential_saving_pct
29891506037946,3800499.017263146,3888.6275082273023,1944.3137541136512,8,1790,0.10231886630055283,1.3333333333333333,298.3333333333333,1944.3137541136512,0.051159433150276414
30017664911489,16011720.372272687,1775.8521732545814,887.9260866272907,4,7946,0.011090951702665282,0.6666666666666666,1324.3333333333333,887.9260866272907,0.005545475851332641
30596442217487,3863429.6776992297,5538.023958666972,2769.011979333486,12,1824,0.14334475894912643,2.0,304.0,2769.011979333486,0.07167237947456322
30927299534289,4072559.806230431,3039.9376671732525,1519.9688335866263,7,1998,0.07464439595270239,1.1666666666666667,333.0,1519.9688335866263,0.037322197976351196
31091963887103,7599742.91425291,7723.748449711147,3861.8742248555736,20,3624,0.10163170697821465,3.3333333333333335,604.0,3861.8742248555736,0.050815853489107325
31348775609478,3792474.2777843755,2221.9954151505963,1110.9977075752981,5,1763,0.05858959751333427,0.8333333333333334,293.8333333333333,1110.9977075752981,0.029294798756667136
31738490646508,8140678.1912197275,3200.0323953328757,1600.0161976664378,8,3978,0.03930916221186986,1.3333333333333333,663.0,1600.0161976664378,0.01965458110593493
31810002298333,4143899.532279276,7564.529603231868,3782.264801615934,16,2080,0.18254616320466482,2.6666666666666665,346.6666666666667,3782.264801615934,0.09127308160233241
32153928008072,3775763.814565339,1400.294780927835,700.1473904639175,4,1764,0.03708639760585859,0.6666666666666666,294.0,700.1473904639175,0.018543198802929296
32264567735137,8115668.708813192,7992.668318368252,3996.334159184126,15,3597,0.09848440843437377,2.5,599.5,3996.334159184126,0.049242204217186884
33309805818215,7318654.57881313,1593.4860733263333,796.7430366631667,3,3550,0.021772937309260876,0.5,591.6666666666666,796.7430366631667,0.010886468654630438
33352820358490,6739757.774433876,69070.44904928951,34535.22452464476,231,8500,1.0248209410625482,38.5,1416.6666666666667,34535.22452464476,0.5124104705312741
34709806412980,4124497.6283612545,2499.784621993127,1249.8923109965635,5,1960,0.060608220618285136,0.8333333333333334,326.6666666666667,1249.8923109965635,0.030304110309142568
35154101197518,16287127.391045168,8488.137581914423,4244.068790957212,17,8228,0.05211562099392242,2.8333333333333335,1371.3333333333333,4244.068790957212,0.02605781049696121
35228693326474,3868198.308360787,7469.915940288263,3734.9579701441317,16,1832,0.19311098720411168,2.6666666666666665,305.3333333333333,3734.9579701441317,0.09655549360205584
36440233808457,15532131.750164608,5798.586384223985,2899.2931921119925,12,7248,0.03733284315053877,2.0,1208.0,2899.2931921119925,0.018666421575269387
36630430991892,8021522.860298977,3975.705595177703,1987.8527975888514,8,4018,0.04956297780879877,1.3333333333333333,669.6666666666666,1987.8527975888514,0.024781488904399386
